2026-08-30 12:03:59,227 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=5, age=9
2026-08-30 12:03:59,235 | INFO     | src.silver.cleaner | Nettoyage terminé : 138 lignes, 17 colonnes.
2026-08-30 12:03:59,235 | INFO     | src.silver.validator | Validation de 138 lignes...
2026-08-30 12:03:59,243 | INFO     | src.silver.validator | Validation terminée : 138 valides, 0 rejetées.
2026-08-30 12:03:59,326 | INFO     | src.gold.star_schema_builder | Début du chargement de 138 lignes validées...
2026-08-30 12:03:59,350 | ERROR    | src.gold.star_schema_builder | Échec du chargement, rollback effectué. Raison : ERREUR:  la relation « dim_date » n'existe pas
LINE 1: SELECT date_id FROM dim_date WHERE date_complete = '2025-01-...
                            ^

2026-08-30 13:47:16,793 | INFO     | __main__ | === Démarrage du pipeline ETL pour data/bronze/signalements.xlsx ===
2026-08-30 13:47:16,793 | INFO     | src.bronze.extractor | Extraction du fichier : data/bronze/signalements.xlsx
2026-08-30 13:47:17,095 | INFO     | src.bronze.extractor | 138 lignes extraites, 12 colonnes.
2026-08-30 13:47:17,095 | INFO     | src.silver.cleaner | Nettoyage de 138 lignes...
2026-08-30 13:47:17,103 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=5, age=9
2026-08-30 13:47:17,103 | INFO     | src.silver.cleaner | Nettoyage terminé : 138 lignes, 17 colonnes.
2026-08-30 13:47:17,103 | INFO     | src.silver.validator | Validation de 138 lignes...
2026-08-30 13:47:17,116 | INFO     | src.silver.validator | Validation terminée : 138 valides, 0 rejetées.
2026-08-30 13:47:17,144 | INFO     | src.gold.star_schema_builder | Début du chargement de 138 lignes validées...
2026-08-30 13:47:18,275 | INFO     | src.gold.star_schema_builder | Chargement réussi : 138 insérées, 0 déjà présentes.
2026-08-30 13:47:18,275 | INFO     | __main__ | === Pipeline terminé : {'lues': 138, 'inserees': 138, 'ignorees': 0, 'rejetees': 0} ===
2026-08-30 13:48:12,457 | INFO     | __main__ | === Démarrage du pipeline ETL pour data/bronze/signalements.xlsx ===
2026-08-30 13:48:12,457 | INFO     | src.bronze.extractor | Extraction du fichier : data/bronze/signalements.xlsx
2026-08-30 13:48:12,744 | INFO     | src.bronze.extractor | 138 lignes extraites, 12 colonnes.
2026-08-30 13:48:12,744 | INFO     | src.silver.cleaner | Nettoyage de 138 lignes...
2026-08-30 13:48:12,753 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=5, age=9
2026-08-30 13:48:12,757 | INFO     | src.silver.cleaner | Nettoyage terminé : 138 lignes, 17 colonnes.
2026-08-30 13:48:12,757 | INFO     | src.silver.validator | Validation de 138 lignes...
2026-08-30 13:48:12,765 | INFO     | src.silver.validator | Validation terminée : 138 valides, 0 rejetées.
2026-08-30 13:48:12,786 | INFO     | src.gold.star_schema_builder | Début du chargement de 138 lignes validées...
2026-08-30 13:48:13,666 | INFO     | src.gold.star_schema_builder | Chargement réussi : 0 insérées, 138 déjà présentes.
2026-08-30 13:48:13,667 | INFO     | __main__ | === Pipeline terminé : {'lues': 138, 'inserees': 0, 'ignorees': 138, 'rejetees': 0} ===
2026-08-30 13:48:48,690 | INFO     | __main__ | Test rapide : KPI globaux vs KPI filtrés sur Instagram uniquement.
